freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
,8032274,0,0,0,0,0,18043167,"Post No Bills"
,476217,0,0,0,42598,0,18043169,"Guerrilla Girls"
,23221066,0,0,0,0,0,18043171,"Peter Cohen"
/m/0gg8l6_,31040227,0,0,0,0,0,18043185,"Charles Mellin"
,22870438,0,0,0,0,0,18043197,Granger
/m/03m72dq,15398749,42708256,0,0,0,0,18043199,"Clare Francis"
/m/05t00xq,22403434,0,0,3035,0,0,18043215,"Jerry Kearns"
/m/027gc04,8723702,109482861,0,0,0,0,18043217,"Lucy Lippard"
/m/0gvtcdg,31541033,0,0,0,0,0,18043219,"Georgina von Etzdorf"
,3448001,0,0,7098,0,0,18043229,"Seth Tobocman"
/m/07k1_7,2512756,0,0,0,0,0,18043231,"Frank Morales"
,1556298,0,0,0,0,0,18043233,"Peter Kuper"
,33959,0,0,0,0,0,18043237,Caz
/m/04qbzh,1289372,62747615,0,7087,0,0,18043241,"Eric Drooker"
,11526530,0,0,0,0,0,18043245,I.B.
/m/03ltbg,886599,0,0,7110,0,0,18043249,"Avram Finkelstein"
,6538365,0,0,2208,0,0,18043255,"David Lance Goines"
/m/02qqq2q,10810457,0,0,0,0,0,18043259,"Robert Cuni"
/m/0blr14,4149197,0,0,7104,0,0,18043263,"Lady Pink"
,30206742,0,0,0,0,0,18043265,"Nancy Burson"
/m/07vpqj,2654608,95715926,0,1170,0,0,18043271,"Sue Coe"
/m/0g1sc,58821,0,0,0,0,0,18043283,"Taddeo Zuccaro"
,80408,0,0,0,0,0,18043285,Gang
/m/02rvlm3,11850854,0,0,0,0,0,18043287,"Mattia de Rossi"
/m/04z49v,1394585,0,0,0,0,0,18043293,"Charles Martinet"
/m/0606lx,1842275,108760942,0,7570,0,0,18043301,"James Wines"
,761659,0,0,0,0,0,18043305,"Wallace Nutting"
/m/05p00xv,21978570,84867554,94034121,0,0,0,18043309,"Ruth Reeves"
,797121,0,0,0,0,0,18043313,"Crosley Radio Corporation"
/m/06gst,25970,0,0,8649,0,0,18043315,"Radio Corporation of America"
/m/03hhjy,854569,27073465,0,0,0,0,18043319,"Francesco Guardi"
/m/02vr8c,605079,0,0,0,0,0,18043327,"Guido Reni"
/m/03gmgb,846559,0,0,0,0,0,18043329,"Ludovico Carracci"
/m/04_0r2s,20349675,0,0,0,0,0,18043331,"Alvin Lustig"
/m/02qd25x,10436916,19573973,0,0,0,0,18043333,"Arnold William Brunner"
,30493112,0,0,0,0,0,18043349,Salvatori
/m/06nwrm,2125670,0,0,0,0,0,18043353,"Louis-Jean Desprez"
/m/0cf_5k,4661570,0,0,6460,0,18296469,18043357,"Russel Wright"
/m/02plv4k,9612650,0,0,0,0,0,18043361,"Eduardo Muñoz Bachs"
,81764,0,0,0,0,0,18043367,Nestor
,21650449,0,0,0,0,0,18043375,"Luis Vega"
/m/01ry3d,301364,0,0,0,0,0,18043377,"Union Carbide"
,204715,0,0,0,0,0,18043395,Crest
,584215,0,0,0,0,0,18043401,Gillette
,4777082,0,0,0,0,0,18043403,Greenpoint
/m/01tbm7,312284,0,0,0,0,0,18043405,"Jascha Heifetz"
,311346,0,0,0,46656,0,18043411,Johnson
,1608281,0,0,0,0,0,18043415,"R. W. L."
/m/05kx9k,1653322,0,0,0,0,0,18043417,"Thomas W. Lamb"
,83163,0,0,0,0,0,18043419,Lykos
,30181328,0,0,0,0,0,18043421,"Richard  H. Mandel"
,8021871,0,0,0,0,0,18043427,"Park Central Hotel"
/m/037zl6,747450,0,0,0,0,0,18043433,"Helena Rubinstein"
,34963786,0,0,0,0,0,18043437,"F.H. S."
,876511,0,0,0,0,0,18043445,"Steinway and Sons"
,1932999,0,0,0,0,0,18043451,Ullman
,819625,0,0,0,0,0,18043463,Westervelt
,5532227,0,0,0,41900,0,18043469,"Robert Jones"
/m/06bpp5,1980907,0,0,7512,0,0,18043471,"Edward William Godwin"
/m/0cbl84,4592943,0,0,0,0,0,18043475,"Walter Shirlaw"
/m/06w6tkv,23558341,0,0,0,0,0,18043483,"Rene Boyvin"
/m/0b6dnnx,25935671,0,0,0,0,0,18043489,"Francesco Villamena"
/m/0kspzy,7512254,0,0,0,0,0,18043501,"Gilles-Marie Oppenord"
,6110232,0,0,0,0,0,18043503,"Jean-Baptiste Oudry"
/m/02w1wyg,12376266,0,0,0,0,0,18043519,"André Mare"
/m/02rv36g,11837797,0,0,6289,0,0,18043521,"Wolfgang Weingart"
/m/06pqc8,2139831,25538073,90018585,5740,75051,0,18043523,"Ladislav Sutnar"
,10623318,0,0,0,0,0,18043545,"Mrs. Smith"
,53421,0,0,2927,0,0,18043547,"Philip Johnson"
,19629560,0,0,0,0,0,18043549,"Procter & Gamble"
/m/08vlyw,3149488,0,0,0,0,0,18043555,"Dorothy Draper"
/m/0c3vf3q,27668827,0,0,0,0,0,18043563,"Jean Audran"
/m/04_1tk4,20351735,0,0,0,0,0,18043595,"New York Department of Health"
